상품명,가격,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,행사 정보,편의점 코드,이미지 주소
빠다코코낫,"1,600",과자,300,255,3,11,35,130,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/870462.1.jpg
제크,"1,600",과자,100,255,3,12,33,540,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/870448.1.jpg
리츠크래커,"1,800",과자,100,475,7.7,20.2,65.5,388,2+1,3,https://www.7-eleven.co.kr/upload/product/8801037/091519.1.jpg
오예스,"6,000",과자,336,140,2,8,15,70,2+1,3,https://www.7-eleven.co.kr/upload/product/8801019/313219.1.jpg
구미당기는구미,"1,200",과자,195,50,0.9,0,11,5,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/898862.1.jpg
후렌치파이사과,"4,200",과자,192,65,1,3,8,30,2+1,3,https://www.7-eleven.co.kr/upload/product/8801019/307140.1.jpg
오예스쿠키앤크림,"6,000",과자,360,150,2,9,15,55,2+1,3,https://www.7-eleven.co.kr/upload/product/8801019/314667.1.jpg
수박모양젤리,"1,000",과자,2000,340,4.4,0.2,80,120,2+1,3,https://www.7-eleven.co.kr/upload/product/8809355/829302.1.jpg
오징어짬뽕큰사발,"1,800",식품,115,525,9,19,79,1590,2+1,3,https://www.7-eleven.co.kr/upload/product/8801043/016117.1.jpg
신라면블랙사발,"1,800",식품,101,445,9,15,68,1530,2+1,3,https://www.7-eleven.co.kr/upload/product/8801043/041447.1.jpg
육개장사발면,"1,000",식품,86,375,7,15,53,1590,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/702643.1.jpg
멸치쌀국수,"2,600",즉석요리,92,320,9,2,67,1530,2+1,3,https://www.7-eleven.co.kr/upload/product/8801024/955039.1.jpg
로제스파게티,"4,700",즉석요리,300,549,12,19,82,330,2+1,3,https://www.7-eleven.co.kr/upload/product/8801118/005824.1.jpg
비비고스팸부대찌개,"7,900",즉석요리,460,310,18,20,15,2070,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/528618.1.jpg
비비고차돌된장찌개,"7,900",즉석요리,460,240,18,6,28,2110,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/737089.1.jpg
옛날사골곰탕,"2,500",즉석요리,500,55,9,2.3,0,980,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/290102.1.jpg
부산식돼지국밥곰탕,"7,800",즉석요리,500,290,21,23,0,1250,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/290966.1.jpg
비비고돼지고기김치찌개,"7,900",즉석요리,460,240,24,8,18,2080,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/761749.1.jpg
카레컵밥,"4,800",즉석요리,310,360,11,2.4,73,490,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/725529.1.jpg
햇반발아현미밥,"7,200",즉석요리,210,290,5,0.9,66,20,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/216294.1.jpg
햇반흑미밥,"7,200",즉석요리,210,310,6,0.7,70,10,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/216317.1.jpg
비비고소고기장터국,"5,900",즉석요리,500,115,10,4.1,10,1990,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/628851.1.jpg
비비빅,"1,500",아이스크림,70,135,2.3,1.3,28,65,2+1,3,https://www.7-eleven.co.kr/upload/product/8801104/123181.1.jpg
구구콘,"2,200",아이스크림,160,305,4,14,40,50,2+1,3,https://www.7-eleven.co.kr/upload/product/8801118/250606.1.jpg
녹차,"1,200",아이스크림,100,145,2.3,3.3,27,60,2+1,3,https://www.7-eleven.co.kr/upload/product/8801047/283447.1.jpg
자연은알로에,"2,150",음료,340,130,0,0,33,25,2+1,3,https://www.7-eleven.co.kr/upload/product/8801382/127789.1.jpg
헛개컨디션,"5,000",음료,100,60,2,0,13,45,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/071046.1.jpg
나랑드사이다,"1,400",음료,500,0,0,0,0,90,2+1,3,https://www.7-eleven.co.kr/upload/product/8801097/135215.1.jpg
칸타타카라멜마키아토,"2,500",음료,275,130,4,2,24,170,2+1,3,https://www.7-eleven.co.kr/upload/product/8801056/051921.1.jpg
게토레이블루볼트,"2,100",음료,1500,24,0,0,6,45,2+1,3,https://www.7-eleven.co.kr/upload/product/8801056/052218.1.jpg
오미자차,"2,200",생활 용품,200,40,0,0,10,10,2+1,3,https://www.7-eleven.co.kr/upload/product/8801047/289685.1.jpg
초록매실마일드,"2,150",음료,500,140,0,0.6,34,25,2+1,3,https://www.7-eleven.co.kr/upload/product/8801382/146544.1.jpg
옐로우스무디,"2,200",음료,350,205,1,1,48,120,2+1,3,https://www.7-eleven.co.kr/upload/product/8809041/429120.1.jpg
스프라이트,"1,700",음료,1000,44,0,0,11,9,2+1,3,https://www.7-eleven.co.kr/upload/product/8801094/203207.1.jpg
그린스무디,"2,200",음료,500,500,0,43,10,195,2+1,3,https://www.7-eleven.co.kr/upload/product/8809041/429007.1.jpg
아침에주스포도,"2,500",음료,950,60,0.7,0,15,15,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/334309.1.jpg
빠삐코,"1,500",아이스크림,780,160,2,4.7,28,25,2+1,3,https://www.7-eleven.co.kr/upload/product/8801118/250996.1.jpg
바밤바,"1,500",아이스크림,63,95,1,2.5,17,20,2+1,3,https://www.7-eleven.co.kr/upload/product/8809713/220055.1.jpg
메로나망고,"1,500",아이스크림,75,120,1,4,20,45,2+1,3,https://www.7-eleven.co.kr/upload/product/8801104/123808.1.jpg
더블비얀코,"2,200",아이스크림,195,195,2,7,33,30,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/623488.1.jpg
허쉬쿠키앤크림바,"2,500",아이스크림,90,280,3,18,27,72,2+1,3,https://www.7-eleven.co.kr/upload/product/8809490/180016.1.jpg
매일우유소프트콘,"2,200",아이스크림,185,190,4,8,26,100,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/017065.1.jpg
일품팥빙수,"3,000",아이스크림,240,280,4.8,0.7,63,35,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/002504.1.jpg
떡붕어싸만코,"2,200",아이스크림,750,220,2,7,37,80,2+1,3,https://www.7-eleven.co.kr/upload/product/8801104/306928.1.jpg
부드러운빵또아,"2,200",아이스크림,180,200,3,6,34,150,2+1,3,https://www.7-eleven.co.kr/upload/product/8801104/307048.1.jpg
월드콘초코,"2,200",아이스크림,160,300,3,15,38,60,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/889747.1.jpg
찰떡아이스하트딸기,"2,200",아이스크림,90,170,2,3,33,35,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/884902.1.jpg
흰우유아이스크림,"10,800",아이스크림,100,165,3,9,18,40,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/720010.1.jpg
초콜릿우유아이스크림,"10,800",아이스크림,100,155,3,8,18,50,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/720041.1.jpg
더블비얀코베리베리,"2,200",아이스크림,185,180,2,4.6,33,55,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/876150.1.jpg
초코붕어싸만코,"2,200",아이스크림,150,210,2,7,35,80,2+1,3,https://www.7-eleven.co.kr/upload/product/8801104/666404.1.jpg
팥빙수,"3,000",아이스크림,280,109,2,1,22,24,2+1,3,https://www.7-eleven.co.kr/upload/product/8805584/224352.1.jpg
허쉬녹차초코바,"2,500",아이스크림,90,256,2,15,27,32,2+1,3,https://www.7-eleven.co.kr/upload/product/8809490/180634.1.jpg
군고구마바,"1,500",아이스크림,75,80,1,2.9,12,30,2+1,3,https://www.7-eleven.co.kr/upload/product/8801206/002018.1.jpg
허쉬딸기초코바,"2,500",아이스크림,85,224,2,12,26,33,2+1,3,https://www.7-eleven.co.kr/upload/product/8809490/180658.1.jpg
세부망고빙수,"3,000",아이스크림,280,108,1,2,21,21,2+1,3,https://www.7-eleven.co.kr/upload/product/8805584/224680.1.jpg
스팸클래식,"8,200",식품,340,305,14,27,2,1100,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/512235.1.jpg
3분햄버그스테이크,"2,800",즉석요리,140,210,15,7,22,620,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/295206.1.jpg
빅핫도그,"3,000",식품,140,375,13,19,38,610,2+1,3,https://www.7-eleven.co.kr/upload/product/8801123/725694.1.jpg
비비고깍두기볶음밥,"3,900",즉석요리,402,330,8,10,52,620,2+1,3,https://www.7-eleven.co.kr/upload/product/8801007/495620.1.jpg
크림새우,"9,500",즉석요리,130,95,6,4.6,8,105,2+1,3,https://www.7-eleven.co.kr/upload/product/8801045/931623.1.jpg
고추짜장면,"4,500",즉석요리,360,405,14,2.6,81,1170,2+1,3,https://www.7-eleven.co.kr/upload/product/8801284/274574.1.jpg
구운양파,"1,700",과자,70,425,4,31,32,440,2+1,3,https://www.7-eleven.co.kr/upload/product/8801019/611049.1.jpg
트롤리애플향링스,"2,500",과자,100,334,4.4,0,79,100,2+1,3,https://www.7-eleven.co.kr/upload/product/8437000/482048.1.jpg
트롤리피치향링스,"2,500",과자,100,330,4.4,0,78,100,2+1,3,https://www.7-eleven.co.kr/upload/product/8437000/482055.1.jpg
쌀강정,"1,700",과자,380,434,3,7,65,60,2+1,3,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
메로나바나나,"1,500",아이스크림,75,115,1.9,3.1,20,65,2+1,3,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
사과주스,"1,200",음료,1000,45,0,0,11,0,1+1,4,https://www.emart24.co.kr/image/NDQwODE=
오렌지주스,"1,200",음료,1000,45,0.8,0,11,0,1+1,4,https://www.emart24.co.kr/image/NDQwOTQ=
레몬아이스티,"1,200",음료,330,112,0.3,0.3,27,10,1+1,4,https://www.emart24.co.kr/image/NDQxNTI=
곤약젤리복숭아,"2,000",과자,130,11,0,0,13,85,1+1,4,https://www.emart24.co.kr/image/NDQxNTQ=
생생톤UP,"1,500",음료,120,53,0,0,13,40,1+1,4,https://www.emart24.co.kr/image/NDQwNjQ=
빅토리아레몬,"1,800",음료,500,0,0,0,0,0,1+1,4,https://www.emart24.co.kr/image/NDQwMTg=
빅토리아청포도,"1,800",음료,500,0,0,0,0,0,1+1,4,https://www.emart24.co.kr/image/NDQwMjA=
안동식쇠고기국밥,"7,800",즉석요리,500,115,10,2,14,1500,2+1,4,https://www.emart24.co.kr/image/NDU0Mjk=
비비고미역국,"5,900",즉석요리,250,60,3,3.6,4,710,2+1,4,https://www.emart24.co.kr/image/NDUzNTU=
햇반매일찰잡곡밥,"7,200",즉석요리,210,320,5,1.3,72,5,2+1,4,https://www.emart24.co.kr/image/NDUzNTc=
햇반현미쌀밥,"2,900",즉석요리,210,305,6,1.1,68,5,2+1,4,https://www.emart24.co.kr/image/NDUzMTI=
