상품명,카테고리,가격,행사 정보,중량,칼로리,탄수화물,단백질,지방,나트륨,편의점 코드,이미지 주소
몬스터칙촉티라미수,과자,"1,200
",,40,200,22,3,11,130,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062015191.jpg
몬스터칙촉쇼콜라,과자,"1,200
",,40,200,24,3,10,85,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062015177.jpg
자유시간아몬드,과자,"1,000
",,36,185,23,3,9,65,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019207655.jpg
오징어다리달달구이,과자,"1,500
",,75,355,55,4,13,500,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043042956.jpg
오레오오즈,간편식사,"6,600
",,500,120,26,1,1.5,120,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037065619.jpg
허쉬밀크초콜릿,과자,"1,600
",,15980,555,60,7,32,80,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000000342400.jpg
자유시간크리스피,과자,"1,000
",,27,134,18,2,6,45,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019207464.jpg
쫄병안성탕면맛,과자,"1,200
",,77,395,46,6,21,640,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043040990.jpg
콘치크림치즈,과자,"1,500
",2+1,162,532,63,7,28,210,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111183062.jpg
새우깡,과자,"1,500
",,90,465,54,6,25,610,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043035989.jpg
꼬깔콘군옥수수맛,과자,"1,700
",,72,410,42,4,25,310,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062380213.jpg
꿀꽈배기,과자,"1,700
",,90,450,63,2.8,21,230,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036177.jpg
매운새우깡,과자,"1,500
",,90,450,59,6,20,650,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036078.jpg
포스틱,과자,"1,700
",,156,140,23,1,4.7,190,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036436.jpg
마가렛트,과자,"4,400
",,352,112,13,1.5,6,80,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062521999.jpg
다이제초코,과자,"2,500
",,225,509,65,6,25,530,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117277406.jpg
칸쵸,과자,"1,200
",,54,260,36,3.5,11,155,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062518210.jpg
쫄병매콤한맛,과자,"1,200
",,82,430,49,5,24,460,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043031431.jpg
초코송이,과자,"1,000
",,36,190,23,2,10,80,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117446901.jpg
칙촉,과자,"2,400
",,168,820,101,11.2,41,550,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062247431.jpg
오레오초콜릿크림,과자,"2,000
",,133,655,95,6,28,605,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037088205.jpg
치토스매콤달콤한맛,과자,"1,700
",2+1,82,475,50,6,28,310,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062380015.jpg
초코픽,과자,"1,700
",,45,220,31,4,9,130,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019308246.jpg
빅파이딸기,과자,"3,200
",,324,455,66,5,19,240,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111180481.jpg
쵸코하임,과자,"3,300
",,47,254,28,4,14,65,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111186216.jpg
뿌셔뿌셔불고기맛,즉석요리,"1,200
",2+1,95,440,65,9,16,980,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045560038.jpg
꼬북칩콘스프맛,과자,"1,700
",,80,175,18,1,11,210,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117784409.jpg
조청유과,과자,"1,700
",,96,170,19,1,10,75,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036719.jpg
도라에몽츄러스,과자,"700
",,480,110,12,1,7,30,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809394830185.jpg
구운감자,과자,"4,000
",2+1,162,130,19,1,6,210,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019602504.jpg
알새우칩,과자,"1,700
",,68,345,46,4,17,510,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036399.jpg
화이트하임,과자,"3,300
",,47,256,29,3.4,14,65,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111186247.jpg
오레오씬즈티라미수,과자,"2,000
",2+1,840,205,29,2,9,140,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037091106.jpg
감자깡,과자,"1,700
",,75,150,22,2,6,190,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036139.jpg
카라멜콘땅콩,과자,"1,500
",2+1,24,127,15,1,7,40,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111180986.jpg
정통크림빵,간편식사,"1,500
",,225,280,39,4,12,240,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068086003.jpg
정통보름달,간편식사,"1,300
",,189,205,37,3,5,130,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068085990.jpg
허니카스테라,간편식사,"2,500
",,380,345,43,7,16,50,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068082630.jpg
롱패스츄리,간편식사,"1,700
",,110,395,50,6,19,320,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062478972.jpg
킨더초콜릿맥시,과자,"900
",,126,119,11.4,1.8,7.4,25.8,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000080050094.jpg
밀크카라멜,과자,"1,000
",,50,205,38,2,5,130,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062335633.jpg
하리보스타믹스,과자,"2,000
",,250,336,77,7,0,30,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/5012035901738.jpg
새콤달콤포도,과자,"500
",,29,35,7,0,0.8,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111188012.jpg
새콤달콤딸기,과자,"500
",,29,35,7,0,0.8,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187992.jpg
하리보골드바렌,과자,"2,000
",,980,340,77,7,0.3,30,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/4001686301555.jpg
통아몬드캔디,과자,"2,000
",,90,52,6,0,3.1,10,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117331009.jpg
마이쮸포도,과자,"800
",,132,185,36,0.7,4,15,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187893.jpg
마이쮸복숭아,과자,"800
",,132,185,36,0.7,4,15,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187930.jpg
마이쮸사과,과자,"800
",,132,185,36,0.7,4,15,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187916.jpg
마이쮸딸기,과자,"800
",,132,185,36,0.7,4,15,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187879.jpg
핫브레이크,과자,"1,000
",,50,249,28,5,13,75,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117449803.jpg
츄파춥스,과자,"300
",,720,390,97,0,0,75,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8410031920093.jpg
새콤달콤복숭아,과자,"500
",,29,120,24,0,2.7,5,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111188036.jpg
뽕따소다맛,아이스크림,"1,800
",1+1,130,115,22,0,3.2,50,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104111355.jpg
탱크보이,아이스크림,"1,800
",,720,95,20,0,1.5,20,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809713220390.jpg
졸음사냥,아이스크림,"1,500
",,140,130,32,1,0,50,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104670920.jpg
아침햇살흑임자콘,아이스크림,"2,000
",,150,230,33,4,9,55,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801382703044.jpg
녹차붕어싸만코,아이스크림,"2,000
",,150,220,36,3,7,80,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104305136.jpg
엑설런트,아이스크림,"10,000
",,340,140,12,2,9,50,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104163057.jpg
거북알초코,아이스크림,"800
",,120,85,10,2,4.2,20,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801118250590.jpg
거꾸로수박바,아이스크림,"1,200
",1+1,75,90,19,0,1.4,25,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062004720.jpg
솔티드카라멜바,아이스크림,"4,200
",,70,105,19,1,2.7,50,5,http://cdn2.bgfretail.com/bgfbrand/files/product/7EF9F726F3B442B9ADFF384D1662EE18.jpg
설레임밀크쉐이크,아이스크림,"2,200
",,160,175,27,3,6,55,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062623495.jpg
찰떡아이스,아이스크림,"2,200
",,90,180,32,3,4.4,30,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062435197.jpg
샤인머스켓,음료,"5,700
",,230,120,30,0,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/2202000018315.jpg
비비고칩포테이토,과자,"3,900
",,40,255,18,1,20,270,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007761541.jpg
비비고순댓국,즉석요리,"7,900
",2+1,460,390,19,24,24,1650,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007792835.jpg
비비고감자탕,즉석요리,"7,900
",2+1,460,305,22,34,9,1810,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007792736.jpg
비비고추어탕,즉석요리,"7,900
",2+1,460,195,16,12,9,1570,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007769868.jpg
한끼잡채,즉석요리,"3,900
",,300,545,87,8,18,1039,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809109115996.jpg
고소쌈장,식품,"6,000
",,450,40,5,2,1.1,290,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801114149157.jpg
낙지김치죽,즉석요리,"5,900
",2+1,400,56,12,2,0,191,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007795188.jpg
김말이튀김,즉석요리,"4,300
",,1000,191,29,1.8,7.5,223,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809109117419.jpg
물냉면,즉석요리,"3,500
",,125,344,73.5,12.2,0.1,402,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801165014381.jpg
시래기된장국,즉석요리,"5,900
",2+1,8,30,4,2,0.9,360,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007971339.jpg
라이스페이퍼,즉석요리,"3,500
",,280,340,85,0.5,0,390,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8938505846187.jpg
한우소고기죽,즉석요리,"5,900
",2+1,500,285,53,6,6,880,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007901282.jpg
전복내장죽,즉석요리,"5,900
",2+1,300,60.33,10.81,1.28,1.33,152.25,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007901268.jpg
본고장유부우동,즉석요리,"3,600
",,217,280,77,10,3.7,1940,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801085882695.jpg
순대곱창볶음,즉석요리,"7,900
",,300,1185,253,20,10,1912,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801077782101.jpg
