상품명,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,가격,행사 정보,편의점 코드,상품 이미지
더블유더블유 단백한 초코,즉석섭취식품,40,148,26,2.4,7,300,,,,
단백질공화국 흑임자선식,즉석섭취식품,25,95,15,1.6,6,25,,,,
귀리우유쉐이크,즉석섭취식품,50,208,7,2.7,39,14,,,,
동태찌개,즉석조리식품,370,486.2,48.3,-,46.6,814.6,,,,
시래기소고기전골,즉석조리식품,290,555.8,34.5,-,50.6,1018.5,,,,
백태고구마순전골,즉석조리식품,350,786.3,48,-,67.4,1608.5,,,,
굴소스해물채소볶음,즉석조리식품,260,162,24.5,-,9.3,684,,,,
검은콩마늘소스닭볶음,즉석조리식품,300,279,28.8,-,12.2,798,,,,
순살안동찜닭,즉석조리식품,320,515.8,39.5,-,46.4,912.6,,,,
키플잠발라야치킨스튜,즉석조리식품,417,488,32.3,2.8,19.2,-,,,,
불고기꽈리고추볶음,즉석조리식품,260,351,30.7,-,12.9,647,,,,
매콤카레간장닭볶음,즉석조리식품,270,498.6,38.3,-,49.2,823.7,,,,
브라운치킨스테이크,즉석조리식품,340,527.6,39.9,-,54.9,610.8,,,,
백아귀찜,즉석조리식품,240,386,28.3,-,42,213.9,,,,
고추마늘샹궈,즉석조리식품,260,495.9,36.5,-,46,860.1,,,,
양념돼지구이&참나물무침,즉석조리식품,240,496.8,38.9,-,48.8,838.7,,,,
궁중비빔밥(밥별도),즉석조리식품,240,503.6,26.9,-,48.8,667.7,,,,
영양훈제오리볶음,즉석조리식품,210,589.1,27.3,-,49.6,1057,,,,
너비아니영양덮밥(밥별도),즉석조리식품,190,499.5,24.6,-,48.6,512.8,,,,
키플사천간짜장덮밥,즉석조리식품,470,503,29.5,36.1,16.4,-,,,,
키플베이컨크림리조또,즉석조리식품,440,686,28.7,54,21.2,-,,,,
마시는 곤약죽 고구마,즉석조리식품,130,98,0.7,0,25,170,,,,
마시는 곤약죽 호박,즉석조리식품,130,70,1,0,18,180,,,,
마시는 곤약죽 귀리,즉석조리식품,130,85,2,0.9,19,180,,,,
모닝죽 알밤,즉석조리식품,130,80,1,0,20,115,,,,
송이곤드레간편죽,즉석섭취식품,200,70,0.8,0.2,16,130,,,,
큼직한 새알동지팥죽,즉석조리식품,500,205,9,0.5,46,410,,,,
밤이 되면 곤약  동치미물냉면맛,즉석조리식품,195,125,1,1.1,30,1540,,,,
서울우유 옥수수우유죽,즉석조리식품,130,86,2,2.4,14,190,,,,
영양반찬 한우스튜,즉석조리식품,130,172,13.3,6.6,17.4,152.2,,,,
버섯소불고기도시락,즉석조리식품,357,629,19,24,84,661,,,,
아이배냇 꼬마 두부스테이크,즉석조리식품,160,216,15,4,30,630,,,,
아이배냇 꼬마 미트볼,즉석조리식품,160,289,12,13,31,280,,,,
치킨찹스테이크도시락,즉석조리식품,350,492,20,10,82,478,,,,
서울우유 견과우유죽,즉석조리식품,130,99,3,4.8,11,210,,,,
푸드쉐이크쿠키앤크림맛,즉석섭취식품,90,360,15,6,64,240,,,,
진비빔면,유탕면,156,625,11,23,98,1400,,,,
치킨테리야끼도시락,즉석조리식품,328,418,17,7,72,413,,,,
고추장불고기도시락,즉석조리식품,351,620,19,20,93,576,,,,
퀘이커 마시는 오트밀 오트&그린티,즉석섭취식품,50,222,6,6,34,160,,,,
마늘면볶이,유탕면,111,460,7,14,76,1120,,,,
소소한밤 곤약모밀,즉석조리식품,198.3,98.4,4,3,19,2320,,,,
라면볶이,유탕면,120,465,8,13,79,900,,,,
자연한끼(韓氣) 블랙,즉석섭취식품,40,157,6,2,29,2,,,,
코다리조림도시락,즉석조리식품,353,558,18,15,89,642,,,,
마시는 곤약죽 단팥,즉석조리식품,130,98,2,0.9,23,130,,,,
푸드 쉐이크 어썸 밀크티 맛,즉석섭취식품,85,325,23,4.7,49,110,,,,
밤이 되면 곤약 소바맛,즉석조리식품,193,85,2,0.5,20,2060,,,,
퀘이커 마시는 오트밀 오트&우리쌀,즉석섭취식품,50,205,7,6,34,160,,,,
프로틴 그래놀라 쉐이크 초코맛,즉석섭취식품,50,203,10,4.2,33,59,,,,
퀘이커 마시는 오트밀 오트&단팥,즉석섭취식품,50,210,8,4.2,35,130,,,,
퀘이커 마시는 오트밀 오트&그레인,즉석섭취식품,50,222,9,8,29,160,,,,
푸드쉐이크커피맛,즉석섭취식품,90,380,16,10,57,230,,,,
모짜렐라 브리또 비프할라피뇨_냉동,즉석조리식품,345,320,13,14,36,570,,,,
자연한끼(韓氣) 그린,즉석섭취식품,40,165,9,4.4,22,15,,,,
마이비밀 컬리블라썸 토마토소스와 미트볼,즉석조리식품,275,335,15,15,35,758,,,,
영양반찬 찹스테이크,즉석조리식품,130,158,15.7,5.4,16.3,350.2,,,,
모짜렐라 호떡만두,만두,600,235,9,9,31,300,,,,
대솔하이밀,즉석섭취식품,200,70,1,-,16,130,,,,
아이배냇 꼬마 함박스테이크,즉석조리식품,160,242,13,10,25,230,,,,
오징어짬뽕큰사발,유탕면,115,525,9,19,79,1590,,,,
버섯이 들어간 소고기장조림,즉석조리식품,180,125,17,0.7,13,1450,,,,
퀘이커 마시는 오트밀 오트 & 서리태,즉석섭취식품,50,211,8,6,32,150,,,,
영양반찬 매콤제육볶음,즉석조리식품,130,123,14.3,3.2,11.6,182.8,,,,
마이비밀 클린데이밀 닭가슴살큐브파스타,즉석조리식품,214,252,19,6,30,308,,,,
그릴함박 & 철판볶음밥,즉석조리식품,550,535,14,24,69,780,,,,
짜왕큰사발,유탕면,105,495,9,19,72,990,,,,
퀘이커 마시는 오트밀 귀리미숫가루,즉석섭취식품,50,200,4,2.7,40,140,,,,
밥이곤약 매콤닭,즉석조리식품,160,250,8,3.1,52,407,,,,
밀스 프레시 모닝 1.0,즉석섭취식품,40,150,8,2,27,120,,,,
MAC&CHEESE 스파게티,유탕면,130,500,12,14,82,1080,,,,
튀김우동큰사발,유탕면,111,515,9,21,73,1590,,,,
영양반찬 해물자장볶음,즉석조리식품,130,138,15.2,4.2,12.3,117.5,,,,
푸드 쉐이크 그레인 맛,즉석섭취식품,90,360,18,8,57,210,,,,
키토선생 크림소스 갈릭치킨&컬리라이스,즉석조리식품,350,542,38.9,31.5,25.1,843.7,,,,
키토선생 코코넛크림닭갈비&컬리라이스,즉석조리식품,350,494,29.9,34.9,22.3,698,,,,
검은깨 영양 컵죽,즉석조리식품,33,144,2.69,4.46,23.17,260.52,,,,
케어웰시니어영양죽,즉석조리식품,40,165,5,4.5,27,220,,,,
오뚜기진진짜라,유탕면,120,515,11,19,75,1310,,,,
산채나물비빔밥,즉석조리식품,434,315,6,8,58,630,,,,
브리또_콰트로치즈&고구마무스,즉석조리식품,330,305,12,13,36,360,,,,
김치말이 톳 쌀국수,즉석조리식품,86,289,8,1.1,64,1238,,,,
영양반찬 치킨토마토크림볶음,즉석조리식품,130,162,17.6,6.7,11.6,202.2,,,,
영양반찬 한우불고기,즉석조리식품,130,129,15,4.7,8,127,,,,
얇은피 꽉찬 교자 매콤해물,만두,304,655,24,39,55,1450,,,,
프리미엄 웰선식 바나나,즉석섭취식품,50,207,6,3.8,37,57,,,,
견과류 영양 컵죽,즉석조리식품,40,182,3.2,7.2,26,444,,,,
영양반찬 해물굴소스볶음,즉석조리식품,130,139,23.4,2,7.7,175.1,,,,
영양반찬 간장찜닭,즉석조리식품,130,130,17.8,1,15.5,133.2,,,,
모짜렐라 브리또 스파이시 핫포크,즉석조리식품,115,260,13,9,33,520,,,,
영양반찬 양송이애호박볶음,즉석조리식품,130,50,3.4,2.2,8.7,137.6,,,,
이탈리안발사믹비비큐미트볼,즉석조리식품,250,365,25,22,20,887,,,,
마이비밀 컬리블라썸 로제소스와 닭가슴살소시지,즉석조리식품,285,280,21,13.4,19,888,,,,
앵그리알티에이(RtA)큰사발면,유탕면,114,515,9,20,75,1720,,,,
신라면 큰사발면,유탕면,114,490,9,17,75,1550,,,,
볶음너구리큰사발,유탕면,110,515,10,22,69,1090,,,,
영양반찬 닭살양송이장조림,즉석조리식품,130,90,14.3,0.9,9.9,128,,,,
영양반찬 순한닭갈비,즉석조리식품,130,131,17.6,1,17.6,111.6,,,,
밀스 라이트 1.0,즉석섭취식품,54,202,14,4,33,210,,,,
프로틴 그래놀라 쉐이크 미숫가루맛,즉석섭취식품,50,203,10,3.7,34,54,,,,
차돌박이된장찌개,즉석조리식품,400,250,15,14,20,2360,,,,
얇은피 꽉찬 교자,만두,420,770,34,38,78,1930,,,,
아이배냇 꼬마 한끼영양밥 닭가슴살곤드레,즉석조리식품,150,282,6,2,60,360,,,,
아이배냇 꼬마 한끼영양밥 쇠고기시금치,즉석조리식품,150,290,6,2,62,360,,,,
영양반찬 생선살우유조림,즉석조리식품,130,143,12.6,4.2,17.1,272.9,,,,
프리미엄 웰선식 클래식,즉석섭취식품,50,222,12,6.8,28,119,,,,
영양반찬 채소된장구이,즉석조리식품,120,90,2,1.9,22,92.4,,,,
영양반찬 소고기크림스파게티,즉석조리식품,130,231,13.1,10.4,22.7,193.3,,,,
영양반찬 한우감자조림,즉석조리식품,130,163,13.3,5.7,17.7,119.5,,,,
오뚜기 크림진짬뽕 용기,유탕면,105,460,8,19,67,970,,,,
브리또_비프&할라피뇨_냉동,즉석조리식품,330,245,11,9,32,390,,,,
마이비밀 클린데이밀 함박스테이크,즉석조리식품,190,253,11,13,23,321,,,,
마이비밀 컬리블라썸 커리소스와 렌틸콩병아리콩,즉석조리식품,200,173,7,3.2,29,454,,,,
마이비밀 클린데이밀 단호박치즈,즉석조리식품,210,248,14,11,23,163,,,,
황금밥알 200℃ 오리지널 볶음밥,즉석조리식품,210,435,12,14,66,890,,,,
고슬고슬 계란코팅 황금밥알200℃ 새우&갈릭 볶음밥,즉석조리식품,210,425,11,13,67,830,,,,
감자탕큰사발면,유탕면,105,485,9,19,69,1590,,,,
새우탕큰사발면,유탕면,115,500,10,18,77,1590,,,,
굴진짬뽕 용기,유탕면,110,455,8,17,67,1340,,,,
프리미엄 웰선식 사과,즉석섭취식품,50,206,7,4.4,34,72,,,,
프리미엄 웰선식 딸기,즉석섭취식품,50,199,8,2.5,36,114,,,,
단백한끼 달달한카카오,즉석섭취식품,25,90,16,0.9,6,87,,,,
키토선생 베이컨칠리오믈렛&컬리라이스,즉석조리식품,350,491,26.4,34.6,29.2,1329,,,,
해물 영양 컵죽,즉석조리식품,40,160,2.4,2.8,30.8,304,,,,
요거트 영양 컵죽,즉석조리식품,40,164,1.6,3.6,31.6,192,,,,
영양반찬 고구마단호박그라탕,즉석조리식품,130,178,4,7.2,30.6,139.8,,,,
영양반찬 감자야채볶음,즉석조리식품,130,90,2.4,2.4,20.2,106.9,,,,
영양반찬 감자멸치조림,즉석조리식품,130,100,6,2.1,19.5,118.8,,,,
나트카트님부,과자,125,140,1,10,11,270,,,,
토르테 쿠키,과자,310,512.1,6,25,66,217,,,,
킷캣 그린티,초콜릿가공품,11500,580,4.2,37.2,57.5,177,,,,
고구마 스틱,과자,100,529,1.2,29.8,64.1,60,,,,
키나코모찌쿠키,과자,210,468,6,20,66,124,,,,
해피 타임,과자,1500,146,2,6,21,110,,,,
와플 콘 (860320),과자,2700,422.3,8,5.5,85.2,239,,,,
화이트 트러플 감자칩,과자,280,450,7.08,25.2,60.38,533,,,,
크리스피 코코넛,과자,1000,655,7,53,38,370,,,,
땅콩당과,과자,250,266,20,10,24,600,,,,
오트 25 텐 그레인,과자,200,504,8,24,64,200,,,,
홀그레인 설타나 브란,과자,750,320,9,2.3,66,500,,,,
라즈베리향 필링 비스킷,과자,176,464,4.2,19,69,530,,,,
호밀 비스킷,과자,480,315,9,2.6,64,1200,,,,
쌀과자 달콤한 맛,과자,315,415,6,12,71,350,,,,
바닐라 맛 웨이퍼(인공바닐라향 0.6% 함유),과자,2260,457,3,17,73,400,,,,
오레오(137g),과자,137,489,4.7,20.6,71.3,520,,,,
커클랜드 시그니춰 앤더슨 피넛버터 필드 프리첼,과자,1560,474,15,22,54,830,,,,
마루하 초콜릿 필드 비스킷,과자,500,486,6,20,69,300,,,,
구욘 초코칩 쿠키,과자,150,454,5.9,24,63,232,,,,
구욘 오리지날 다이제스티브,과자,250,422,6,16,66,272,,,,
오지 바이츠,과자,780,510,9,26,60,360,,,,
크릭 크래커 500g,과자,500,134,3.1,3.3,23,410,,,,
크릭 살라티 크래커250G,과자,250,140,3.1,3.3,23,410,,,,
크릭 통밀 크래커 250G,과자,250,132,3.4,3.3,21,510,,,,
크리스피메이플콘,과자,2200,518,7,26,64,500,,,,
쿠키머랭 K (P-3NT),과자,819,423,4,11,77,196,,,,
쿠키머랭 J (P-60T),과자,504,420,3,12,75,197,,,,
쿠키머랭 Q (P-329HB),과자,990,437,3,13,77,197,,,,
모찌 모나카,과자,4500,323,4,0.3,76,30,,,,
쿠키머랭 M (P-19NT),과자,1026,433,3,13,76,197,,,,
사쿠라향 모나카,과자,4500,317,5,0.5,73,12,,,,
쿠키머랭 L (P-184B),과자,576,437,3,13,77,197,,,,
유자 모나카,과자,4500,310,4,0.38,73,10,,,,
삼색모나카,과자,220,324,4,0,77,42,,,,
통밀 크리스프롤,과자,200,389,11,9,66,1000,,,,
카르다몸 크리스프롤,과자,200,402,10,9.5,69,750,,,,
프레첼 피자맛,과자,112,485,9.3,19.7,67.5,721,,,,
초코칩쿠키,과자,400,500,7,20,73,530,,,,
프레첼 샐러드맛,과자,112,467,8.4,16.3,71.6,730,,,,
프레첼 베이컨 포테이토맛,과자,112,458,9.8,17.2,66,900,,,,
흑당밀크크래커,과자,110.6,515,4,19,82,608,,,,
리고 치즈맛 볼,과자,482,510,7,25,64,1145,,,,
크리스피브레드 위드 딜,과자,150,400,14,7.5,69,3600,,,,
빠삐투,과자,315,457,6.3,24.1,50.1,186,,,,
토피 마카롱,과자,860,435,6.7,23.3,50,47,,,,
밀크 초콜릿 마카롱,과자,860,435,6.7,23.3,50,47,,,,
붐 치카팝 스위트 앤 솔티 팝콘,과자,652,535,5,29,63,390,,,,
참쌀선과 (253G),과자,253,485,5,19,73,600,,,,
비스킷,과자,175,392,7.9,12,63,1400,,,,
참쌀설병 (270G),과자,270,475,5,17,75,380,,,,
화롄 라이스 크래커,과자,600,59,0.9,4.1,4.6,21,,,,
토르세티 알 브로 (110792),과자,300,477,4.5,23,63,300,,,,
코코 시트론 마카롱,과자,860,435,6.7,23.3,50,47,,,,
산딸기 마카롱,과자,860,435,6.7,23.3,50,47,,,,
헤이즐넛 마카롱,과자,860,435,6.7,23.3,50,47,,,,
패션프루트 마카롱,과자,860,435,6.7,23.3,50,47,,,,
베네수엘라 초콜릿 마카롱,과자,860,435,6.7,23.3,50,47,,,,
초콜릿 마카롱,과자,860,435,6.7,23.3,50,47,,,,
아비시니 마카롱,과자,860,435,6.7,23.3,50,47,,,,
크리스피 코코넛 롤,과자,265,494,3,22,71,180,,,,
오리지널 프리미엄 솔틴 크래커,과자,1360,409,6,9.4,75,840,,,,
참고구마스틱,과자,5000,515,0,26.4,69.3,83.5,,,,
참미니 꽈배기,과자,6000,528,9.9,26.4,62.7,181.5,,,,
호박튀김,과자,5000,520,0,27,69.3,83,,,,
딸기향 샌드위치 비스킷(120g),과자,120,475,0,21,64,550,,,,
치즈향 샌드위치 비스킷(120g),과자,120,475,0,21,64,550,,,,
레몬향 샌드위치 비스킷(120g),과자,120,475,0,21,64,550,,,,
바닐라향 샌드위치 비스킷(120g),과자,120,475,0,21,64,550,,,,
라면스낵 치킨향,과자,250,460,11,17,66,1660,,,,
오이쉬 마티스 크래크링 플레인 솔티드,과자,90,160,2,9,18,210,,,,
이 비바네시 밀가루와 통밀 부스러기 (39200),과자,250,432,13,16,59,840,,,,
이 비바네시 콘 올리오 엑스트라 버진 디 올리바 250g (1138),과자,250,467,13,19,61,800,,,,
오띠미니 레몬,과자,280,474,7,18,71,192,,,,
로아커웨하스 바닐라(125g),과자,125,517,7.9,26.6,61.4,162,,,,
스틱 비스킷,과자,310,475,7.1,20,66.7,333,,,,
아몬드 진저 쿠키 (170g),과자,170,455,5.7,16,72,1000,,,,
로아커웨하스 바닐라(250g),과자,250,517,7.9,26.6,61.4,162,,,,
오트 비스킷,과자,600,487,5.1,23,65,850,,,,
진저 쿠키,과자,600,463,5.4,17,72,1200,,,,
키도 크리미 버터향 크래커 샌드위치,과자,120,71,1,3,10,85,,,,
비스코트 포켓,과자,180,375,11,4.9,72,560,,,,
통밀 그릴레틴,과자,161,390,12,11,61,400,,,,
과일누가바,과자,30,110,0.27,0.06,27,39,,,,
옥수수 크래커,과자,400,430,10,12,71,700,,,,
허니 비스킷,과자,500,455,8,15,72,250,,,,
초코 트위스트 스낵,과자,5000,514,6,18,64,0,,,,
트위스트 스낵,과자,5000,503,6,23,68,0,,,,
매운맛 꿔바(치킨맛),과자,130,528,7,29,61,675,,,,
두향 꿔바(향랄),과자,280,531,6.8,28.6,61,675,,,,
두향 꿔바(달콤한맛),과자,280,514,9,25,63,65,,,,
자색고구마튀김,과자,5000,156,0,8,21,25,,,,
두향 꿔바(숯불맛),과자,280,531,7,29,61,675,,,,
리지스 그라놀라 오리지널,과자,350,494,10,30,46,12,,,,
리지스 그라놀라 당밀 & 피칸,과자,300,498,10,30,47,23,,,,
이지셩 누가 크래커,과자,168,445,5.7,16.7,69.2,290,,,,
리지스 그라놀라 핑크 애플 & 시나몬,과자,400,477,10.4,27,48,86,,,,
오트밀 비스킷,과자,160,516,4.7,33,50,1100,,,,
루과,과자,240,475,7.7,19.5,67.2,13,,,,
지앙미타오,과자,180,460,2.7,17.2,73.4,36,,,,
프링글스 스윗 마요치즈,과자,110,530,5.2,29.8,60.2,408,,,,
아지고코로모나카,과자,300,320,7,0,73,133,,,,
믹스 모나카,과자,230,320,3,0,77,71,,,,
로아커웨하스 그린티(110g),과자,110,508,8.1,25.8,60.8,159,,,,
포테이토 크렉커(스캘리언맛),과자,51,256,0.6,12,37,386,,,,
판도리오 올리브오일 클래식 비스킷(163592),과자,200,515,6.8,23,70,80,,,,
판도리오 올리브오일 요거트 비스켓(177334),과자,200,510,6.7,24,67,80,,,,
산칼로 크로칸테 감자칩,과자,180,492,6.3,27,56,520,,,,
스캘리언크래커,과자,7000,510,10,25.1,61.4,164,,,,
산칼로 스틸레토 감자스틱,과자,175,492,6.3,27,56,520,,,,
홍차 쿠키,과자,72,364,4.8,17.5,46.8,117,,,,
두유 비스킷,과자,70,362,4.2,18.7,44.2,267,,,,
피타 크래커 씨솔트,과자,269,465,8,16,72,920,,,,
피타 크래커 파마산치즈 앤 바질,과자,269,460,9,15,72,780,,,,
마리스텔라 하트모양 페이스트리,과자,150,515,6.7,29.8,54.9,332,,,,
마리스텔라 부채모양 페이스트리,과자,150,508,6.7,29,55,332,,,,
마리스텔라 살구필링 페이스트리,과자,135,475,4.15,24.98,58.49,304,,,,
동물모양 버터맛 비스킷,과자,162,545,7,32,59,390,,,,
미니 아스파라거스모양 버터맛 비스킷,과자,162,465,9,17,71,440,,,,
파에테포요틴,과자,2500,429,5,9,82,460,,,,
샤브레 쿠키,과자,125,510,6,23,70,100,,,,
별모양 초코콘,과자,132,560,5,35,58,40,,,,
에다마메 논후라이 야키,과자,120,500,10,23,63,780,,,,
콘 크래커,과자,108,475,8,19,68,1110,,,,
데세오 칠리 플레이버 버터 쿠키(74855),과자,160,564,9,30,60,116,,,,
데세오 크런치 레몬 쿠키(56155),과자,115,490,5.6,20,72,400,,,,
대용량 고구마 스낵,과자,200,490.5,1.6,22.4,70.6,10,,,,
대용량 자색 고구마 스낵,과자,200,466.5,2.7,17.6,74.3,31,,,,
스내츠 토마토오레가노맛 스낵,과자,120,493,8,25,59,800,,,,
데세오 시나몬 쿠키(199722),과자,160,471,7,19,68,212,,,,
통마늘칩,과자,8000,431,14.5,11.7,67,348,,,,
그린빈칩,과자,5200,484,7.8,20.6,67,27,,,,
에스케이프 피용크래커,과자,150,418,10,6,81,1120,,,,
키도 버터향 & 레몬향 크래커 샌드위치,과자,120,75,1,3,10.5,70,,,,
스내츠 미니브레드스틱 퀴노아,과자,120,474,9.9,22,59,760,,,,
라차 쉬마이,과자,200,521.5,9,29,56,128,,,,
스내츠 파프리카허브맛 스낵,과자,120,486,8.8,23,61,880,,,,
스내츠 미니브레드스틱 케일,과자,120,458,10,18,64,840,,,,
스내츠 갈릭파슬리맛 스낵,과자,120,502,8,26,59,680,,,,
올레디저트 스윗 라운드,과자,2760,520,7,28,60,40,,,,
베이비 토스트 비스킷,과자,300,394,4,10,64,200,,,,
초코 웨이퍼롤,과자,115,500,6,20,74,85,,,,
바닐라향 웨이퍼롤,과자,115,490,3,20,74,105,,,,
벨지안 카라멜라이즈 쿠키,과자,1800,482,6,18,74,332,,,,
크린베리 앤 애플 프루슬리(뮤즐리 바),과자,180,119,1.5,2.1,22.7,0,,,,
마조리코 스트로베리 요거트 웨이퍼롤,과자,120,535,3,27,70,100,,,,
마조리코 카푸치노 웨이퍼롤,과자,120,484,3,20,73,133,,,,
크리스피 크레페 망고향,과자,78,474.3,4,16,52,150,,,,
크리스피 크레페 스트로베리향,과자,78,480.7,4,16,54,140,,,,
파이 쿠키 위드 모찌 초콜릿맛,과자,80,440,4,16,48,200,,,,
파이 쿠키 위드 모찌 바나나맛,과자,80,415,4,12,52,232,,,,
핑거 비스킷,과자,780,433.6,5.3,12,76.1,300,,,,
벨지안 버터 크리스피 와플,과자,250,489,6.1,21,69,201,,,,
벨지엄 쿠키세트,과자,389,522,5.6,27.9,62.1,144,,,,
프링글스 미스터리맛,과자,110,531,5.2,31,57.7,719,,,,
생미쉘 빨레뜨,과자,150,511,6,27,61,500,,,,
생미쉘 갈라떼,과자,130,468,7,16,74,334,,,,
타마리믹스 쌀과자,과자,180,377,8,0.6,85,931,,,,
초코 랑그디 채트콘,과자,1200,511,8.2,24.6,64.3,225,,,,
노리마키 아라레 스틱 쌀과자,과자,180,378,10,0.7,83,1216,,,,
웰빙자색고구마칩,과자,4000,656,8,32,84,92,,,,
쇼가쯔마미크래커,과자,140,394,4,2,90,300,,,,
유기농 후버 오리지널 브레첼,과자,175,397,11.1,6.5,73.4,1840,,,,
쿠리시구레,과자,300,333,5,0.6,77,6,,,,
진저브레드기차쿠키키트,과자,558,395,3.3,9,75,500,,,,
파토리아 카사노바 아몬드 칸투치(193766),과자,200,570,12,42,36,9,,,,
퀴노아 치아씨 크래커,과자,230,438,13,18,56,1400,,,,
파토리아 카사노바 카카오 칸투치(193848),과자,200,570,12,42,36,9,,,,
유기농 그래놀라 사과와 건포도,과자,15000,391,8.7,10.1,66.2,49,,,,
유기농 콘후레이크와 레드 베리,과자,10000,360,5.1,0.6,83.5,490,,,,
이지셩 누가 크래커(9800g),과자,9800,445,5.7,16.7,69.2,290,,,,
유기농 후버 롱스틱 소금맛,과자,125,394,10,5.5,76,1240,,,,
유기농 후버 롱스틱 베어스갈릭맛,과자,125,367,12,3.4,72,2120,,,,
유기농 후버 롱스틱 세서미맛,과자,150,393,12,6.3,72,1480,,,,
웰빙고구마스틱,과자,5000,135,0.5,5,22,45,,,,
웰빙 미니꽈베기,과자,3000,160,3,8,19,105,,,,
페이퍼과자(딸기향),과자,625,363,9,1.1,78,10,,,,
오리지널쌀과자(쌀72.8%함유),과자,500,451,12,7,85,460,,,,
로베르토 브레드스틱 위드 로즈마리,과자,250,419,13.4,9.1,69.4,634,,,,
매직 피넛 버터크림,과자,308,495,10.7,21.4,64.6,536,,,,
통밀비스켓,과자,120,124,2.4,5.1,18.6,276,,,,
런던 케틀,과자,142,420,4,16,73,320,,,,
코스타리칸 코코아맛,과자,142,420,7,15,74,240,,,,
하와이안 마카다미아,과자,170,430,6,18,69,270,,,,
크림크래커,과자,190,440,12,14,72,840,,,,
레몬 퍼프,과자,200,520,4,24,68,380,,,,
미니스낵 알라 크레마 파스틱세라,과자,600,545,7,33,55,320,,,,
카사바칩 갈릭맛,과자,1200,502,1,27,64,359,,,,
미니 오레오 바닐라향크림,과자,67,140,2,14,48,367,,,,
요거트비스켓,과자,400,455,8.9,15,71,750,,,,
돌체센자 콘플레이크,과자,350,343,7,1,80,800,,,,
미니 오레오 초콜릿맛크림,과자,67,140,2,14,48,367,,,,
유기농 후버 비어스텡얼 스틱,과자,125,398,12.2,9.2,66.6,1000,,,,
유기농 후버 브레첼 파티,과자,200,412,10.8,11.2,66.9,1640,,,,
서던 피칸,과자,170,429,6,14,71,271,,,,
타틀릿 사브레 필 브로 8.5cm,과자,3456,460,8,18,66,142,,,,
폰드 디 타르트 퍼 브르 22cm,과자,2400,450,8,18,64,138,,,,
버터리 오트 비스킷,과자,140,531,5.9,31.2,56.7,300,,,,
트리클 비스킷,과자,140,495,4.8,23.9,65.1,370,,,,
모로칸 하리사,과자,98,82,1,3,14,120,,,,
참아이엔지 치즈크림(135G),과자,135,505,7,23,68,660,,,,
복표 아교 강정 1호,과자,180,509,20.6,32.5,33.5,80,,,,
참아이엔지 치즈레몬향 (135G),과자,135,495,7,22,67,600,,,,
토스트 비스킷,과자,350,394,4,10,64,200,,,,
퀴노아 보리 메밀 앤틱,과자,350,342,9,2.5,75,750,,,,
코코넛 비스킷,과자,300,481,7.4,18.5,70,333,,,,
라면짱,과자,30,142.9,2.6,6.9,18.9,402.9,,,,
비욜그 유기농 메밀 아마씨 비스켓,과자,125,448,8.5,18,63,230,,,,
로아커웨하스 에스프레소,과자,110,501,8.8,26.1,57.6,189,,,,
로하커웨하스 블루베리요거트,과자,110,510,6.2,25.4,64.2,164,,,,
쌀과자,과자,8500,112,2,0,26,200,,,,
미니오레오,과자,230,113,1,5,16,125,,,,
미니오레오초코맛크림,과자,230,113,1,5,16,125,,,,
밀강정,과자,380,434,5,7,83,65,,,,
쌀강정,과자,380,434,3,7,65,60,,,,
카라멜팝콘(227g),과자,227,372,4,4,80,280,,,,
미왕 쌀과자 콘치즈맛,과자,200,490,7,21,70,2068,,,,
웨이퍼리니 노치올라,과자,190,584,7.2,40,48,60,,,,
오렌지색고구마튀김,과자,5000,156,0,8,21,25,,,,
바오롱크래커,과자,6000,504,7.3,24.3,63.9,483,,,,
그로똘리,과자,280,466,8,18,68,180,,,,
코코넛크런치쿠키,과자,175,555,5,35,55,210,,,,
포시즌바나나칩,과자,5440,509,0.42,27,66,4,,,,
초코 와플,과자,130,517,6,29,58,97,,,,
바닐라 와플,과자,130,517,7,29,57,120,,,,
커클랜드 시그니춰 케틀 크링클 컷 칩스,과자,907,545,8,32,56,392,,,,
치즈 샌드 위치,과자,168,904,10,48,108,720,,,,
김쌀과자 255g,과자,255,518,5.9,23.5,70.6,794,,,,
사비칩,과자,1000,386,11,6,72,372,,,,
리치 버터 와플,과자,270,519,6,26,66,167,,,,
미니크래커,과자,1000,466,8,22,59,464,,,,
후그 디저트 타트렛 클래식 7.6cm,과자,2256,473,6,24,58,96,,,,
오레오바닐라향(137g),과자,137,493,5,21,71,520,,,,
쿠키 온 투어,과자,450,475,6,19,70,232,,,,
포숑 아몬드 쇼트브레드,과자,125,535,8.6,31.4,53.6,203,,,,
쇼가쯔마미,과자,140,394,4,2,90,300,,,,
엘리스피넛샌드비스킷,과자,150,478,6,22,64,784,,,,
엘리스초코샌드비스킷,과자,150,514,6,26,64,752,,,,
엘리스레몬향샌드비스킷,과자,150,478,6,22,64,752,,,,
밀크 비스켓,과자,200,480,7,18.5,72,215,,,,
와사비완두콩,과자,5000,118,4,1.6,22,340,,,,
네이처 밸리 프로틴 피넛버터 다크초콜릿 츄이 바,과자,1200,194,10,12,14,180,,,,
발로코치암벨레쿠키,과자,350,483,6,19,72,281,,,,
구데타마 에그 & 밀크와플,과자,241.4,512,6.48,24.63,66.07,55.6,,,,
유탕감자스틱,과자,6000,28760,288,1806,2838,1620,,,,
