상품명,가격,행사 정보,이미지 주소
비비고김치왕교자385G,"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007429052_001.jpg
비비고매운왕교자315G,"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007715353_001.jpg
비비고왕교자420G,"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007325224_002.jpg
수제진한고기교자327G,"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007980683_001.jpg
XO교자만두324G,"6,400",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045712987_001.jpg
ㅋㅋ실비김치만두315G,"5,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809123251649_001.jpg
스팸김치볶음밥220G,"3,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007353395_003.jpg
햇반깍두기볶음밥201G,"3,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007495620_003.jpg
숯불향닭강정200G,"5,600",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007573861_863.jpg
숯불향바베큐바280G,"5,600",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007573342_344.jpg
비비고수제만두고기200G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007836294_004.jpg
비비고수제만두김치200G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007836270_003.jpg
어드밴스그랜드치약220G,"5,500",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046272732_002.jpg
KF94마스크5매(검정),"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809692181019_001.jpg
KF94마스크5매(베이지),"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809692181040_001.jpg
안주야직화무뼈닭발160G,"9,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801052043852_002.jpg
