상품명,가격,행사 정보,이미지 주소,편의점 코드
애니데이무향롱40P,"8,600",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166222440_002.jpg,1
레깅스라이너26,"5,400",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166090513_002.jpg,1
순면라이너18P,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166233408_001.jpg,1
유기농순면뉴수퍼롱8P,"9,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166239172_001.jpg,1
좋은순면수퍼롱10P,"10,400",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166234122_003.jpg,1
따옴바포도75ML,"2,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104675642_001.jpg,1
마일드10입,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801037049589.jpg,1
슈프림골드믹스20입,"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801037003048_002.jpg,1
라떼10입,"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801037066777_001.jpg,1
타투스티커(건식),"5,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809876210481_003.jpg,1
수앤수물티슈96매(캡),"6,100",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166059671_002.jpg,1
마이비데클린케어10매,"1,600",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166055123_001.jpg,1
크리넥스에코물티슈20매,"2,400",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166055406_002.jpg,1
쮸쮸봉칸탈루프멜론,"1,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801118256882_001.jpg,1
뽕따소다,"1,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104111355_356.jpg,1
폴라포라즈베리120ML,"1,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713221618_001.jpg,1
폴라포포도120ML,"1,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713220048_004.jpg,1
따옴바납작복숭아75ML,"2,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104673440_001.jpg,1
